RunNumber  LumiSec  EventNumber  CRid  MET  MET_phi  MT  MINDPHI  MT2W  lep1_pt  lep1_eta  lep1_phi  lep2_pt  lep2_eta  lep2_phi  passTrackIso  passTau  nSelJets  nBJets  jet1Pt  jet2Pt
run=258177  ls=1921  evt=-1683027898  CR=5  met=292.616058  metPhi=1.272143  mt=422.008331  minDphi=2.952429  MT2W=289.600067  lep1Pt=152.583939  lep1Eta=-0.635905  lep1Phi=-1.763257  lep2Pt=82.739777  lep2Eta=0.239871  lep2Phi=1.586614  PassTrkVeto=1  PassTauVeto=0  nJets=3  nBTags=1  jet1Pt=84.859604  jet2Pt=66.517975 
run=258749  ls=235  evt=366592600  CR=4  met=251.484238  metPhi=2.318004  mt=231.427139  minDphi=2.144670  MT2W=434.828278  lep1Pt=72.138191  lep1Eta=-0.911263  lep1Phi=-1.898145  lep2Pt=49.591133  lep2Eta=-0.226645  lep2Phi=2.884492  PassTrkVeto=1  PassTauVeto=0  nJets=2  nBTags=1  jet1Pt=119.457756  jet2Pt=69.260139 
run=258749  ls=302  evt=469761484  CR=6  met=305.602478  metPhi=0.599315  mt=232.184769  minDphi=1.758502  MT2W=134.836136  lep1Pt=44.209526  lep1Eta=0.373927  lep1Phi=-2.443244  lep2Pt=0.000000  lep2Eta=0.000000  lep2Phi=0.000000  PassTrkVeto=0  PassTauVeto=0  nJets=4  nBTags=1  jet1Pt=87.601944  jet2Pt=80.952049 
run=258706  ls=624  evt=1063848108  CR=4  met=261.016388  metPhi=-1.765256  mt=356.100494  minDphi=1.479539  MT2W=138.519272  lep1Pt=159.530060  lep1Eta=0.937809  lep1Phi=2.397158  lep2Pt=91.863197  lep2Eta=0.676436  lep2Phi=-1.057435  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=315.741119  jet2Pt=41.287144 
run=258703  ls=317  evt=539762365  CR=4  met=278.958466  metPhi=0.521782  mt=279.617004  minDphi=2.056102  MT2W=155.264725  lep1Pt=77.797546  lep1Eta=-0.820465  lep1Phi=-1.978517  lep2Pt=77.694672  lep2Eta=-0.142562  lep2Phi=0.857097  PassTrkVeto=1  PassTauVeto=0  nJets=4  nBTags=1  jet1Pt=119.731018  jet2Pt=86.963440 
run=258742  ls=240  evt=442809706  CR=5  met=279.803375  metPhi=-1.476275  mt=360.504883  minDphi=2.528182  MT2W=146.185547  lep1Pt=129.890823  lep1Eta=1.454105  lep1Phi=1.002031  lep2Pt=31.530277  lep2Eta=-1.768049  lep2Phi=-1.972054  PassTrkVeto=1  PassTauVeto=1  nJets=4  nBTags=2  jet1Pt=214.957779  jet2Pt=47.412724 
run=258742  ls=266  evt=491259952  CR=6  met=272.996399  metPhi=-2.849535  mt=211.969742  minDphi=2.590238  MT2W=188.216797  lep1Pt=58.433437  lep1Eta=-0.089310  lep1Phi=-0.858135  lep2Pt=0.000000  lep2Eta=0.000000  lep2Phi=0.000000  PassTrkVeto=0  PassTauVeto=0  nJets=4  nBTags=2  jet1Pt=120.835243  jet2Pt=100.580132 
run=258742  ls=78  evt=143889316  CR=4  met=301.119965  metPhi=-1.929087  mt=267.076050  minDphi=1.717509  MT2W=194.203751  lep1Pt=65.355591  lep1Eta=1.669009  lep1Phi=0.589705  lep2Pt=26.581991  lep2Eta=0.840970  lep2Phi=-1.216001  PassTrkVeto=1  PassTauVeto=0  nJets=4  nBTags=2  jet1Pt=66.778496  jet2Pt=61.717758 
run=258712  ls=110  evt=175412550  CR=5  met=388.793610  metPhi=0.862579  mt=513.557495  minDphi=0.850885  MT2W=159.391510  lep1Pt=172.519653  lep1Eta=-1.554162  lep1Phi=-2.540405  lep2Pt=19.487146  lep2Eta=1.012304  lep2Phi=1.090685  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=197.171219  jet2Pt=71.188004 
run=258702  ls=291  evt=471183836  CR=4  met=316.201965  metPhi=2.685453  mt=390.161285  minDphi=3.026202  MT2W=168.759171  lep1Pt=125.385925  lep1Eta=-1.567339  lep1Phi=-0.859490  lep2Pt=20.777645  lep2Eta=-1.789067  lep2Phi=2.978932  PassTrkVeto=1  PassTauVeto=0  nJets=3  nBTags=1  jet1Pt=117.860115  jet2Pt=93.459953 
run=258742  ls=422  evt=770269353  CR=6  met=271.035706  metPhi=-2.935184  mt=543.575745  minDphi=1.489421  MT2W=158.255325  lep1Pt=309.609650  lep1Eta=-1.156953  lep1Phi=-0.500223  lep2Pt=0.000000  lep2Eta=0.000000  lep2Phi=0.000000  PassTrkVeto=0  PassTauVeto=0  nJets=5  nBTags=2  jet1Pt=173.177017  jet2Pt=138.742233 
run=258742  ls=531  evt=959462613  CR=4  met=321.265411  metPhi=1.102257  mt=211.478027  minDphi=2.881642  MT2W=331.807800  lep1Pt=65.644203  lep1Eta=-1.338208  lep1Phi=-0.528904  lep2Pt=37.620823  lep2Eta=0.104549  lep2Phi=1.335084  PassTrkVeto=1  PassTauVeto=0  nJets=2  nBTags=1  jet1Pt=239.129272  jet2Pt=93.288368 
run=258742  ls=587  evt=1055930175  CR=4  met=336.755859  metPhi=2.667536  mt=158.105042  minDphi=1.355972  MT2W=131.756668  lep1Pt=91.732529  lep1Eta=-0.675612  lep1Phi=-2.682620  lep2Pt=44.754730  lep2Eta=0.227864  lep2Phi=2.195971  PassTrkVeto=1  PassTauVeto=0  nJets=3  nBTags=1  jet1Pt=491.568420  jet2Pt=97.234924 
run=258742  ls=614  evt=1101580065  CR=5  met=287.104584  metPhi=-2.782684  mt=157.143021  minDphi=2.709289  MT2W=120.630890  lep1Pt=87.155228  lep1Eta=0.445724  lep1Phi=-1.743088  lep2Pt=15.121828  lep2Eta=0.483044  lep2Phi=-2.249800  PassTrkVeto=1  PassTauVeto=1  nJets=5  nBTags=1  jet1Pt=286.631256  jet2Pt=180.449814 
run=258703  ls=151  evt=254066901  CR=6  met=310.777008  metPhi=0.105783  mt=223.550766  minDphi=2.278585  MT2W=144.706375  lep1Pt=48.503010  lep1Eta=-1.300250  lep1Phi=2.394335  lep2Pt=0.000000  lep2Eta=0.000000  lep2Phi=0.000000  PassTrkVeto=1  PassTauVeto=0  nJets=6  nBTags=1  jet1Pt=210.216217  jet2Pt=164.455292 
run=258159  ls=228  evt=291240587  CR=4  met=251.014160  metPhi=-1.802053  mt=415.165527  minDphi=1.915914  MT2W=128.795715  lep1Pt=175.378311  lep1Eta=-0.336539  lep1Phi=1.631556  lep2Pt=76.278015  lep2Eta=0.306620  lep2Phi=-1.783936  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=153.947159  jet2Pt=125.782700 
run=258159  ls=309  evt=393225426  CR=4  met=427.953735  metPhi=1.770898  mt=314.543243  minDphi=2.584803  MT2W=483.106689  lep1Pt=96.107887  lep1Eta=1.094820  lep1Phi=-0.004062  lep2Pt=26.276964  lep2Eta=0.405312  lep2Phi=1.701203  PassTrkVeto=1  PassTauVeto=0  nJets=3  nBTags=1  jet1Pt=311.331451  jet2Pt=96.370529 
run=258177  ls=1533  evt=2129016358  CR=5  met=269.185211  metPhi=-2.885441  mt=238.770462  minDphi=2.672657  MT2W=185.213562  lep1Pt=60.597477  lep1Eta=2.324085  lep1Phi=-0.470304  lep2Pt=17.603617  lep2Eta=-0.208956  lep2Phi=2.495881  PassTrkVeto=1  PassTauVeto=1  nJets=4  nBTags=1  jet1Pt=159.397903  jet2Pt=43.159107 
run=259811  ls=44  evt=82774189  CR=5  met=320.585266  metPhi=1.948536  mt=238.359772  minDphi=2.449371  MT2W=310.067810  lep1Pt=66.142113  lep1Eta=-0.709023  lep1Phi=-2.417233  lep2Pt=115.829796  lep2Eta=0.490287  lep2Phi=1.907851  PassTrkVeto=1  PassTauVeto=0  nJets=5  nBTags=1  jet1Pt=238.518784  jet2Pt=186.324585 
run=259822  ls=451  evt=627724008  CR=4  met=309.734222  metPhi=3.038244  mt=654.344788  minDphi=1.505251  MT2W=490.364990  lep1Pt=439.473419  lep1Eta=-0.483663  lep1Phi=-1.064280  lep2Pt=36.675358  lep2Eta=-0.335985  lep2Phi=3.049568  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=228.544769  jet2Pt=196.498856 
run=259862  ls=465  evt=814912584  CR=5  met=260.125122  metPhi=2.599016  mt=308.970062  minDphi=2.652476  MT2W=152.005569  lep1Pt=103.339378  lep1Eta=-1.097638  lep1Phi=0.140492  lep2Pt=59.629379  lep2Eta=-1.859185  lep2Phi=2.223094  PassTrkVeto=1  PassTauVeto=0  nJets=3  nBTags=2  jet1Pt=152.983795  jet2Pt=131.375717 
run=259821  ls=170  evt=289245238  CR=4  met=265.912445  metPhi=0.093776  mt=575.711243  minDphi=1.578233  MT2W=160.206787  lep1Pt=371.596252  lep1Eta=-1.097201  lep1Phi=2.408442  lep2Pt=45.038372  lep2Eta=0.072693  lep2Phi=0.444744  PassTrkVeto=1  PassTauVeto=0  nJets=3  nBTags=1  jet1Pt=302.856781  jet2Pt=60.065319 
run=259685  ls=559  evt=1017920573  CR=4  met=286.276428  metPhi=0.870780  mt=472.830811  minDphi=1.967345  MT2W=159.669327  lep1Pt=195.652191  lep1Eta=-0.741297  lep1Phi=-2.362786  lep2Pt=162.466339  lep2Eta=0.288271  lep2Phi=0.675947  PassTrkVeto=1  PassTauVeto=0  nJets=3  nBTags=1  jet1Pt=244.290085  jet2Pt=74.444466 
run=259809  ls=127  evt=158809343  CR=4  met=267.801666  metPhi=3.088346  mt=308.420074  minDphi=2.555795  MT2W=156.151154  lep1Pt=88.800919  lep1Eta=1.398358  lep1Phi=-0.046193  lep2Pt=59.915359  lep2Eta=1.716939  lep2Phi=2.441060  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=212.780167  jet2Pt=75.825966 
run=259809  ls=164  evt=222678312  CR=5  met=258.077576  metPhi=0.095698  mt=154.618103  minDphi=1.847872  MT2W=136.164902  lep1Pt=23.187534  lep1Eta=2.372779  lep1Phi=-2.975099  lep2Pt=134.680710  lep2Eta=-0.829376  lep2Phi=-0.198393  PassTrkVeto=1  PassTauVeto=0  nJets=4  nBTags=1  jet1Pt=346.019623  jet2Pt=86.801407 
run=259862  ls=232  evt=388737041  CR=5  met=276.414825  metPhi=-1.301166  mt=355.514069  minDphi=2.195385  MT2W=298.434143  lep1Pt=118.422485  lep1Eta=-0.452315  lep1Phi=2.215226  lep2Pt=13.136176  lep2Eta=1.096458  lep2Phi=-0.090239  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=76.628510  jet2Pt=57.954723 
run=259820  ls=75  evt=111005825  CR=4  met=255.667496  metPhi=1.090862  mt=452.804810  minDphi=2.900197  MT2W=499.000000  lep1Pt=205.821411  lep1Eta=-1.093030  lep1Phi=-1.727349  lep2Pt=46.993313  lep2Eta=0.156752  lep2Phi=0.944614  PassTrkVeto=1  PassTauVeto=1  nJets=2  nBTags=1  jet1Pt=79.997849  jet2Pt=48.518490 
run=259820  ls=151  evt=241715453  CR=4  met=287.052582  metPhi=2.744357  mt=243.858932  minDphi=2.145430  MT2W=306.835266  lep1Pt=77.203499  lep1Eta=0.885517  lep1Phi=0.824858  lep2Pt=59.822346  lep2Eta=1.070604  lep2Phi=3.106388  PassTrkVeto=1  PassTauVeto=0  nJets=3  nBTags=1  jet1Pt=256.833893  jet2Pt=79.439262 
run=258177  ls=1163  evt=1654908326  CR=6  met=305.725861  metPhi=0.612194  mt=271.804413  minDphi=2.738858  MT2W=121.477745  lep1Pt=60.772442  lep1Eta=-1.902655  lep1Phi=-2.375149  lep2Pt=0.000000  lep2Eta=0.000000  lep2Phi=0.000000  PassTrkVeto=0  PassTauVeto=0  nJets=3  nBTags=1  jet1Pt=191.492691  jet2Pt=94.396599 
