RunNumber  LumiSec  EventNumber  CRid  MET  MET_phi  MT  MINDPHI  MT2W  lep1_pt  lep1_eta  lep1_phi  lep2_pt  lep2_eta  lep2_phi  passTrackIso  passTau  nSelJets  nBJets  jet1Pt  jet2Pt
run=260576  ls=149  evt=307716804  CR=4  met=276.427856  metPhi=2.291142  mt=308.970551  minDphi=2.724756  MT2W=499.000000  lep1Pt=86.347412  lep1Eta=0.348817  lep1Phi=-0.873350  lep2Pt=23.274988  lep2Eta=0.807623  lep2Phi=1.581511  PassTrkVeto=1  PassTauVeto=1  nJets=2  nBTags=1  jet1Pt=107.193581  jet2Pt=79.449371 
run=260576  ls=159  evt=328094252  CR=5  met=273.820709  metPhi=-0.050912  mt=221.322769  minDphi=2.476936  MT2W=164.685501  lep1Pt=46.149845  lep1Eta=1.714503  lep1Phi=-2.838932  lep2Pt=372.952057  lep2Eta=-1.678934  lep2Phi=-0.260685  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=545.206848  jet2Pt=313.573090 
run=258214  ls=213  evt=360399306  CR=4  met=255.255951  metPhi=1.970524  mt=250.575897  minDphi=0.893235  MT2W=151.704346  lep1Pt=66.464340  lep1Eta=-1.580868  lep1Phi=-0.617166  lep2Pt=26.175604  lep2Eta=-0.877153  lep2Phi=-2.932796  PassTrkVeto=1  PassTauVeto=0  nJets=4  nBTags=2  jet1Pt=247.847672  jet2Pt=58.273895 
run=258177  ls=432  evt=642330858  CR=6  met=429.801239  metPhi=0.087323  mt=202.544037  minDphi=2.639332  MT2W=158.806168  lep1Pt=110.834183  lep1Eta=-1.059529  lep1Phi=1.052336  lep2Pt=0.000000  lep2Eta=0.000000  lep2Phi=0.000000  PassTrkVeto=1  PassTauVeto=0  nJets=6  nBTags=2  jet1Pt=528.092957  jet2Pt=328.760712 
run=258403  ls=193  evt=280844983  CR=5  met=336.243011  metPhi=-1.953021  mt=318.369690  minDphi=1.916115  MT2W=220.135971  lep1Pt=75.376907  lep1Eta=0.789349  lep1Phi=1.217104  lep2Pt=13.934752  lep2Eta=-1.063278  lep2Phi=-1.347885  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=239.382828  jet2Pt=45.298126 
run=258287  ls=196  evt=312193499  CR=4  met=349.271820  metPhi=2.000229  mt=221.566666  minDphi=0.996239  MT2W=146.417084  lep1Pt=46.957718  lep1Eta=0.691706  lep1Phi=-2.192472  lep2Pt=23.490274  lep2Eta=-1.056314  lep2Phi=1.769568  PassTrkVeto=1  PassTauVeto=0  nJets=4  nBTags=2  jet1Pt=281.822113  jet2Pt=57.021038 
run=258158  ls=33  evt=55012823  CR=5  met=251.509323  metPhi=0.498849  mt=158.508514  minDphi=1.566486  MT2W=119.647957  lep1Pt=69.029160  lep1Eta=0.146954  lep1Phi=1.789581  lep2Pt=19.920004  lep2Eta=0.639578  lep2Phi=1.040110  PassTrkVeto=1  PassTauVeto=0  nJets=3  nBTags=1  jet1Pt=201.168915  jet2Pt=51.460064 
run=257968  ls=116  evt=142533068  CR=4  met=260.732391  metPhi=-1.499212  mt=222.451660  minDphi=1.513484  MT2W=151.154709  lep1Pt=53.010612  lep1Eta=-0.553013  lep1Phi=0.982594  lep2Pt=35.842319  lep2Eta=-0.152135  lep2Phi=-2.527854  PassTrkVeto=1  PassTauVeto=0  nJets=4  nBTags=2  jet1Pt=462.186920  jet2Pt=202.968842 
run=258158  ls=1377  evt=2066206442  CR=6  met=501.528839  metPhi=-0.261310  mt=223.487122  minDphi=2.949308  MT2W=276.932007  lep1Pt=35.767555  lep1Eta=-0.595029  lep1Phi=-2.235082  lep2Pt=0.000000  lep2Eta=0.000000  lep2Phi=0.000000  PassTrkVeto=0  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=308.898804  jet2Pt=123.783272 
run=257613  ls=283  evt=455794256  CR=4  met=288.126312  metPhi=-2.363809  mt=186.760239  minDphi=2.930549  MT2W=125.750832  lep1Pt=37.309761  lep1Eta=2.171737  lep1Phi=-0.121325  lep2Pt=23.864422  lep2Eta=1.021698  lep2Phi=-2.168619  PassTrkVeto=1  PassTauVeto=1  nJets=4  nBTags=2  jet1Pt=234.509674  jet2Pt=129.445496 
run=257613  ls=833  evt=1292992233  CR=6  met=251.467880  metPhi=-0.018488  mt=170.283859  minDphi=0.868429  MT2W=104.542923  lep1Pt=59.924805  lep1Eta=0.509138  lep1Phi=-1.551392  lep2Pt=0.000000  lep2Eta=0.000000  lep2Phi=0.000000  PassTrkVeto=0  PassTauVeto=0  nJets=4  nBTags=1  jet1Pt=457.077911  jet2Pt=143.506531 
run=257751  ls=115  evt=171796313  CR=5  met=295.186981  metPhi=-1.603630  mt=242.905670  minDphi=2.314120  MT2W=146.182449  lep1Pt=93.307426  lep1Eta=-0.181776  lep1Phi=0.038331  lep2Pt=27.997463  lep2Eta=-1.208266  lep2Phi=-2.304397  PassTrkVeto=1  PassTauVeto=0  nJets=4  nBTags=2  jet1Pt=331.940979  jet2Pt=122.641029 
run=257645  ls=444  evt=687680924  CR=4  met=272.426178  metPhi=1.188751  mt=190.125046  minDphi=2.487953  MT2W=153.408401  lep1Pt=291.057434  lep1Eta=-0.705318  lep1Phi=1.877472  lep2Pt=118.194061  lep2Eta=0.674475  lep2Phi=-1.177142  PassTrkVeto=1  PassTauVeto=0  nJets=7  nBTags=1  jet1Pt=545.962280  jet2Pt=152.476898 
run=257645  ls=489  evt=754837821  CR=5  met=294.879120  metPhi=-1.296625  mt=253.226913  minDphi=2.600107  MT2W=246.494553  lep1Pt=55.123043  lep1Eta=0.997837  lep1Phi=1.609812  lep2Pt=50.058590  lep2Eta=1.474807  lep2Phi=-1.104333  PassTrkVeto=1  PassTauVeto=0  nJets=3  nBTags=1  jet1Pt=193.719681  jet2Pt=101.233772 
run=256676  ls=86  evt=124202861  CR=4  met=253.056854  metPhi=2.371697  mt=262.667694  minDphi=2.084402  MT2W=197.110474  lep1Pt=68.161781  lep1Eta=-0.072923  lep1Phi=-0.762329  lep2Pt=63.441795  lep2Eta=0.493707  lep2Phi=2.044096  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=187.745255  jet2Pt=76.972481 
run=257645  ls=60  evt=78992992  CR=6  met=274.128998  metPhi=-0.363782  mt=364.849243  minDphi=1.465723  MT2W=126.297806  lep1Pt=121.457123  lep1Eta=-1.357102  lep1Phi=2.821905  lep2Pt=0.000000  lep2Eta=0.000000  lep2Phi=0.000000  PassTrkVeto=1  PassTauVeto=0  nJets=5  nBTags=3  jet1Pt=266.602448  jet2Pt=63.135639 
run=256675  ls=50  evt=73254333  CR=5  met=269.030243  metPhi=0.759573  mt=197.877899  minDphi=1.922449  MT2W=118.705948  lep1Pt=84.113724  lep1Eta=-0.205642  lep1Phi=-0.675972  lep2Pt=14.647689  lep2Eta=-0.012239  lep2Phi=1.695705  PassTrkVeto=1  PassTauVeto=1  nJets=4  nBTags=1  jet1Pt=465.714355  jet2Pt=200.931549 
run=256843  ls=258  evt=372844836  CR=4  met=357.396088  metPhi=0.938041  mt=577.084167  minDphi=2.215966  MT2W=151.815094  lep1Pt=236.029739  lep1Eta=-0.838218  lep1Phi=-2.432392  lep2Pt=79.738411  lep2Eta=-1.181139  lep2Phi=1.226102  PassTrkVeto=1  PassTauVeto=1  nJets=4  nBTags=1  jet1Pt=120.672989  jet2Pt=97.362144 
run=256677  ls=184  evt=216561065  CR=5  met=344.618805  metPhi=1.919359  mt=361.757812  minDphi=2.603227  MT2W=162.045120  lep1Pt=149.232208  lep1Eta=0.737617  lep1Phi=-2.517203  lep2Pt=16.995243  lep2Eta=2.113966  lep2Phi=1.091660  PassTrkVeto=0  PassTauVeto=1  nJets=4  nBTags=1  jet1Pt=260.108673  jet2Pt=101.832893 
run=256677  ls=213  evt=250885917  CR=4  met=256.188965  metPhi=0.738196  mt=370.694336  minDphi=2.627856  MT2W=121.913612  lep1Pt=134.097214  lep1Eta=-0.865635  lep1Phi=-2.412164  lep2Pt=37.536400  lep2Eta=-0.401047  lep2Phi=0.094961  PassTrkVeto=1  PassTauVeto=0  nJets=4  nBTags=2  jet1Pt=103.061943  jet2Pt=98.527870 
run=256843  ls=1102  evt=1517864546  CR=5  met=290.294098  metPhi=-2.689768  mt=152.573700  minDphi=0.883801  MT2W=148.988846  lep1Pt=37.067043  lep1Eta=0.234345  lep1Phi=-1.037194  lep2Pt=11.374957  lep2Eta=0.556358  lep2Phi=-2.749382  PassTrkVeto=1  PassTauVeto=1  nJets=5  nBTags=2  jet1Pt=204.132690  jet2Pt=162.841415 
run=257531  ls=80  evt=112119467  CR=5  met=473.628693  metPhi=2.578741  mt=168.961655  minDphi=2.415392  MT2W=428.083221  lep1Pt=47.943298  lep1Eta=-2.288306  lep1Phi=1.388452  lep2Pt=13.247163  lep2Eta=-0.664131  lep2Phi=-3.015162  PassTrkVeto=1  PassTauVeto=1  nJets=8  nBTags=1  jet1Pt=210.843124  jet2Pt=208.085342 
run=258158  ls=1450  evt=-2130712237  CR=4  met=316.801880  metPhi=-1.601957  mt=444.946289  minDphi=1.898344  MT2W=150.520172  lep1Pt=163.026291  lep1Eta=-0.790374  lep1Phi=1.128422  lep2Pt=30.306391  lep2Eta=-0.039920  lep2Phi=-0.868808  PassTrkVeto=1  PassTauVeto=0  nJets=3  nBTags=1  jet1Pt=207.302887  jet2Pt=55.097195 
run=258158  ls=1679  evt=-1831320987  CR=4  met=256.515991  metPhi=1.777549  mt=353.018036  minDphi=2.792597  MT2W=148.180023  lep1Pt=139.177979  lep1Eta=-1.416637  lep1Phi=-0.634284  lep2Pt=132.914963  lep2Eta=-0.814872  lep2Phi=1.480559  PassTrkVeto=1  PassTauVeto=0  nJets=3  nBTags=1  jet1Pt=265.199249  jet2Pt=118.155914 
run=257751  ls=147  evt=219035305  CR=4  met=383.642548  metPhi=1.326267  mt=427.597382  minDphi=2.073096  MT2W=149.338898  lep1Pt=192.772736  lep1Eta=0.206431  lep1Phi=-0.482921  lep2Pt=84.393517  lep2Eta=-0.456207  lep2Phi=1.797171  PassTrkVeto=1  PassTauVeto=0  nJets=4  nBTags=2  jet1Pt=354.213318  jet2Pt=295.081970 
run=258158  ls=972  evt=1500355430  CR=4  met=382.336517  metPhi=2.969752  mt=543.868286  minDphi=2.627112  MT2W=303.302032  lep1Pt=204.091751  lep1Eta=0.360097  lep1Phi=-0.633452  lep2Pt=62.372501  lep2Eta=0.405998  lep2Phi=2.841774  PassTrkVeto=1  PassTauVeto=1  nJets=4  nBTags=1  jet1Pt=111.323303  jet2Pt=80.627884 
run=254790  ls=644  evt=906799000  CR=5  met=252.613815  metPhi=-0.143746  mt=168.474899  minDphi=2.681951  MT2W=164.087494  lep1Pt=125.826904  lep1Eta=0.031788  lep1Phi=-1.127967  lep2Pt=13.680141  lep2Eta=0.626355  lep2Phi=0.166146  PassTrkVeto=1  PassTauVeto=1  nJets=5  nBTags=1  jet1Pt=169.116364  jet2Pt=80.643845 
